Start,Peak,End,Duration,Amplitude,RMS,AbsPower,RelPower,Frequency,Oscillations,Symmetry,Channel,IdxChannel,subject,session
533.06,533.2099999999999,533.65,0.5900000000000318,28.53488518248869,5.8616815770209945,1.4797183079851146,0.23774700365953866,13.807217578807606,8.0,0.25,Cz,0,208,2
534.58,534.86,535.09,0.5099999999999909,26.450838472673954,7.407207154169903,1.5535309000351156,0.29033043859344376,13.648003439862851,7.0,0.5384615384615384,Cz,0,208,2
598.6,599.38,600.54,1.9399999999999409,44.0312404155445,8.117416112459628,1.4169741370617719,0.2724442568108335,12.910521952608045,24.0,0.4,Cz,0,208,2
608.57,609.5500000000001,609.73,1.1599999999999682,39.092633691014775,6.948115887665344,1.571630197510355,0.2969639301214754,12.813088549907729,13.0,0.8376068376068376,Cz,0,208,2
657.36,657.88,658.88,1.5199999999999818,44.31372952333736,7.72155298405431,1.582046347940385,0.3685965426383735,12.865825517796571,20.0,0.33986928104575165,Cz,0,208,2
661.63,662.67,662.86,1.2300000000000182,39.60979446217773,7.544900146246678,1.4896908019345028,0.31812469043208785,13.241150612190166,15.0,0.8387096774193549,Cz,0,208,2
719.52,720.26,720.48,0.9600000000000364,22.40035464671847,5.558430503846067,1.2507221434065614,0.2210495804338705,13.187665984831051,12.0,0.7628865979381443,Cz,0,208,2
777.11,777.45,777.67,0.5599999999999454,28.952466634538304,6.621605133767159,1.6637494209725585,0.3542172639817304,14.090591995680354,8.0,0.5964912280701754,Cz,0,208,2
805.13,805.45,805.88,0.75,27.983644641808436,5.446048168648588,1.3040486338992028,0.26963478505492344,14.296746821981191,10.0,0.42105263157894735,Cz,0,208,2
820.16,820.63,820.84,0.6800000000000637,29.87291848751826,7.012200025331515,1.6993069951100985,0.40480987199859675,14.009847365172941,7.0,0.6811594202898551,Cz,0,208,2
840.66,841.14,841.64,0.9800000000000182,30.806245003592263,5.847703021748169,1.2630748147451014,0.24051502770132632,13.805418247705443,11.0,0.48484848484848486,Cz,0,208,2
905.52,906.1,906.48,0.9600000000000364,26.423404485924532,6.126517295186349,1.4100792955559802,0.26722109151222306,13.386789379156134,12.0,0.5979381443298969,Cz,0,208,2
913.73,914.54,914.63,0.8999999999999773,27.433978352510277,6.284313339467012,1.3403584134165167,0.2479028282654871,13.144561851466467,10.0,0.8901098901098901,Cz,0,208,2
916.59,916.8100000000001,917.14,0.5499999999999545,43.014185725703484,8.608535558091466,1.858389070812036,0.3464766557579838,12.727600423458867,7.0,0.39285714285714285,Cz,0,208,2
1257.36,1258.33,1258.49,1.1300000000001091,26.951200355839838,5.729453273850806,1.2419241850473868,0.28513454651762915,13.48539657260601,15.0,0.8508771929824561,Cz,0,208,2
1890.94,1891.26,1891.55,0.6099999999999,26.582913838185732,5.668283172016434,1.452624560554131,0.2755877407062244,13.343415395788302,7.0,0.5161290322580645,Cz,0,208,2
2255.1,2255.9,2256.32,1.2200000000002547,26.922514504871348,5.341306017160998,1.0592514512438351,0.24135204399602583,12.980200314365627,16.0,0.6504065040650406,Cz,0,208,2
2698.34,2698.92,2699.14,0.7999999999997272,38.21296233589833,7.314181528314302,1.6962546193667078,0.29955325955481843,13.420334922396057,9.0,0.7160493827160493,Cz,0,208,2
2908.15,2908.67,2909.16,1.0099999999997635,43.961138708593865,9.364665116713399,1.7749282959150916,0.2729751405178302,13.269139468018672,12.0,0.5098039215686274,Cz,0,208,2
3135.91,3136.18,3136.45,0.5399999999999636,21.63331229532642,5.323850045222864,1.3007680131188188,0.23052631507820037,13.872608159882457,6.0,0.4909090909090909,Cz,0,208,2
3490.08,3490.62,3490.75,0.6700000000000728,29.903875629389248,7.085062907675389,1.6644665429543763,0.3409626090394766,13.798115972809388,9.0,0.7941176470588235,Cz,0,208,2
3661.23,3661.52,3661.78,0.5500000000001819,25.198799136098614,6.301953112619002,1.6470656236837344,0.4032126706132565,13.028179763884502,7.0,0.5178571428571429,Cz,0,208,2
3684.68,3686.35,3686.67,1.9900000000002365,34.667978629607646,6.926473930077508,1.3885899983657621,0.27217924082599954,13.569855682882421,22.0,0.835,Cz,0,208,2
4169.89,4170.200000000001,4170.67,0.7799999999997453,26.61471640444102,5.516589411932081,1.4558095559461026,0.31486847004389895,13.972025645506026,11.0,0.3924050632911392,Cz,0,208,2
4440.21,4440.47,4440.88,0.6700000000000728,36.59477064947403,6.655491602369917,1.3382035056439543,0.23668592209226774,13.436522072428538,9.0,0.38235294117647056,Cz,0,208,2
4557.44,4557.5599999999995,4558.02,0.5800000000008367,26.76006250300443,6.8445673349994935,1.4638987571163977,0.21832909852904067,14.201731441226277,8.0,0.2033898305084746,Cz,0,208,2
5030.35,5031.22,5031.61,1.2599999999993088,43.573668973620144,8.89454891301291,1.7539699428150817,0.27870165500380695,12.993337405348825,15.0,0.6850393700787402,Cz,0,208,2
5033.44,5034.03,5034.94,1.5,44.11485599195325,8.829950365529072,1.7218849926677846,0.3528037170568501,12.932825160622862,19.0,0.39072847682119205,Cz,0,208,2
5066.71,5066.96,5067.5,0.7899999999999636,33.10136303380446,7.892285123108091,1.4903425316378924,0.3668988225677442,13.139127248559795,9.0,0.3125,Cz,0,208,2
5232.32,5232.46,5233.0,0.680000000000291,21.386541078320825,5.810407131600774,1.4000800744978028,0.2934205222305494,13.193040674525296,7.0,0.2028985507246377,Cz,0,208,2
5258.31,5258.660000000001,5258.89,0.5799999999999272,27.291557301012148,7.0413150879277095,1.6683202921910931,0.2786235531630135,13.823284983431956,8.0,0.5932203389830508,Cz,0,208,2
