Start,Peak,End,Duration,Amplitude,RMS,AbsPower,RelPower,Frequency,Oscillations,Symmetry,Channel,IdxChannel,subject,session
798.83,799.37,799.41,0.5799999999999272,24.797780228905893,5.566814623550167,1.528070884529894,0.254428655841173,12.12872160917685,6.0,0.9152542372881356,Cz,0,106,1
927.59,928.26,928.54,0.9499999999999318,40.963352243036915,8.322055223887574,1.7609410183149838,0.3861827917342111,13.421180935080072,12.0,0.6979166666666666,Cz,0,106,1
1574.69,1574.9,1575.3,0.6099999999999,30.750861585725733,5.808359731733747,1.4027361123193605,0.2522671063185701,13.169040471306978,7.0,0.3387096774193548,Cz,0,106,1
1638.9,1639.2800000000002,1639.98,1.0799999999999272,57.122001890326914,9.840524896256403,1.737157209315853,0.33995677469593316,12.373621273393885,13.0,0.3486238532110092,Cz,0,106,1
1716.01,1716.99,1717.26,1.25,26.184713608937706,5.9833114011014015,1.413505052106162,0.28372185020205587,13.293581596837983,17.0,0.7777777777777778,Cz,0,106,1
1806.23,1806.58,1806.87,0.6399999999998727,31.143519792269544,6.74199327992245,1.4892613905784065,0.2985030157265913,12.6301691675961,8.0,0.5384615384615384,Cz,0,106,1
1810.33,1810.3899999999999,1810.96,0.6300000000001091,36.673708942446446,7.800826478389566,1.5490182230740017,0.2662391858017191,12.440010511850257,8.0,0.09375,Cz,0,106,1
1931.73,1932.1200000000001,1932.27,0.5399999999999636,25.859184684558755,6.317427412618849,1.622457618886204,0.36681604844795535,13.190384151572005,6.0,0.7090909090909091,Cz,0,106,1
3575.76,3576.19,3576.38,0.6199999999998909,21.885077009700268,4.567388305549649,1.3457895241480067,0.2938642039569335,13.750495616254703,8.0,0.6825396825396826,Cz,0,106,1
3873.2,3874.08,3874.42,1.2200000000002547,24.4818882160245,5.170716904910965,1.2436557514328512,0.3030277524708521,13.017516649466419,13.0,0.7154471544715447,Cz,0,106,1
3984.72,3985.18,3985.36,0.6400000000003274,20.19943359391586,4.66267341177715,1.3258780011000495,0.25739732340644933,13.5732056856609,9.0,0.7076923076923077,Cz,0,106,1
4010.41,4010.66,4011.11,0.7000000000002728,23.60504530031531,5.2951440765402955,1.3323407039713164,0.26680074517098423,13.591295049410604,9.0,0.352112676056338,Cz,0,106,1
4021.72,4022.1099999999997,4022.24,0.5199999999999818,28.41551113018558,6.034895357946401,1.3470738295105638,0.3384469988552658,13.26115413230701,7.0,0.7358490566037735,Cz,0,106,1
4037.98,4038.75,4038.97,0.9899999999997817,38.56995869110996,8.00304035014357,1.6684110502525855,0.2787894967766831,12.932996334660793,13.0,0.77,Cz,0,106,1
4236.69,4236.79,4237.28,0.5900000000001455,19.94524446778191,4.200207872287678,1.1326311910404154,0.26484331154469176,13.993544993913755,7.0,0.16666666666666666,Cz,0,106,1
4337.32,4337.469999999999,4337.9,0.5799999999999272,19.179135437015255,4.764716763028293,1.2140341222704438,0.2463229966327073,13.396188639687804,6.0,0.2542372881355932,Cz,0,106,1
4643.48,4643.879999999999,4644.03,0.5500000000001819,26.07661829050238,5.815134625578214,1.3553183627353174,0.2816344058695818,13.310616162140402,7.0,0.7142857142857143,Cz,0,106,1
4755.55,4755.72,4756.1,0.5500000000001819,21.665614763385115,4.023470913430257,1.2191558103359326,0.263670231207665,13.69541447606313,6.0,0.30357142857142855,Cz,0,106,1
4818.33,4818.5199999999995,4818.84,0.5100000000002183,24.13138090796529,5.707901842484012,1.5155414963804965,0.32129744046888875,13.606115185901025,7.0,0.36538461538461536,Cz,0,106,1
4844.69,4845.15,4845.54,0.8500000000003638,27.764103697074393,5.669636711657512,1.3428070499885636,0.32672888745973006,13.202897188433335,11.0,0.5348837209302325,Cz,0,106,1
4850.97,4851.13,4851.51,0.5399999999999636,20.403510085271915,4.722363756682096,1.4913502887521988,0.45525935231604886,13.24330877280519,8.0,0.2909090909090909,Cz,0,106,1
4890.19,4890.5,4890.85,0.660000000000764,26.743590579011666,5.252834557174234,1.2286902188387965,0.2597344586208289,13.207666942371928,8.0,0.4626865671641791,Cz,0,106,1
4894.24,4894.44,4895.05,0.8100000000004002,30.43301228008941,6.852281403157939,1.6076548159568071,0.2544921005111855,12.579026445813497,10.0,0.24390243902439024,Cz,0,106,1
4896.65,4896.83,4897.35,0.7000000000007276,30.912363822123943,6.436250433326988,1.6076037613995993,0.3425109110994255,14.266332435696969,8.0,0.2535211267605634,Cz,0,106,1
5042.46,5043.08,5043.34,0.8800000000001091,21.940678169108104,5.2215257295974595,1.3776272694511529,0.3744379180217009,13.351625681650914,12.0,0.6966292134831461,Cz,0,106,1
5445.81,5446.17,5446.32,0.5099999999993088,26.73281563067846,6.461729814760741,1.5907801266022459,0.27444591923248257,13.448485946357549,7.0,0.6923076923076923,Cz,0,106,1
