subject,session,channel,spindle_count,spindle_density,mean_duration,mean_frequency,mean_amplitude
106,1,Cz,26,0.28418717004230015,0.7192307692308628,13.233638309823464,27.945388655671817
106,2,Cz,38,0.4183939178736781,0.8113157894736613,13.235664154244455,23.25826670321734
107,1,Cz,69,0.7554041503436724,0.9495652173912913,12.990741224109895,20.534994727099953
107,2,Cz,60,0.6637877944175447,0.7480000000000051,13.377263510366685,20.512386363019953
114,1,Cz,30,0.3308318767540982,0.7656666666666638,13.326138366804763,33.36140840479131
114,2,Cz,20,0.22175981194767946,0.7564999999999482,13.430397840383993,18.589921395203564
118,1,Cz,83,0.9189650018268581,0.8668674698795602,13.217539469032051,18.360833046596746
118,2,Cz,104,1.1508371233498214,0.8087500000000029,13.13499027891515,20.071893674436463
123,1,Cz,46,0.5041445798977828,0.7800000000000691,13.283211329008111,28.076507814026375
123,2,Cz,36,0.3983520030097707,0.797500000000002,13.353709628689366,27.260095509695475
205,1,Cz,38,0.41889126097293006,0.7878947368420897,13.460244265326157,50.94002580839053
205,2,Cz,35,0.38559844879252597,0.714285714285681,13.43504771524963,42.12538802400712
206,1,Cz,42,0.4863456528032423,0.8742857142857015,13.541698835107955,28.079890562262637
206,2,Cz,79,0.8024364272279884,0.8065822784810105,13.402338985234616,29.28419942210703
208,1,Cz,34,0.37616861204845936,0.7888235294117695,13.599766571340952,25.650808443325925
208,2,Cz,31,0.3428394479178955,0.924193548387107,13.432070019513178,32.01266293854814
220,1,Cz,20,1.6505281690140845,0.7449999999999974,13.641618644274015,22.05447107187175
220,2,Cz,74,0.8204233680227058,0.8341891891891885,13.667072680648362,22.324556999002002
224,1,Cz,6,0.26596923622500995,0.6933333333333517,13.701473561192685,31.01253974493623
224,2,Cz,25,0.2764768008316422,0.8004000000000042,13.365566167692043,30.631170122190106
